hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
"Hope, that's all right.",Hope that's okay.,Not Hallucination,hope that is all right,hope that is okay,['hope that is all right'],['hope that is okay'],"[['hope', 'that', 'is', 'all', 'right']]","[['hope', 'that', 'is', 'okay']]"
"No, that's it.","No, now.",Not Hallucination,no that is it,no now,['no that is it'],['no now'],"[['no', 'that', 'is', 'it']]","[['no', 'now']]"
Υou're a genius.,You're a genius.,Hallucination,υoure a genius,you are a genius,['υoure a genius'],['you are a genius'],"[['υoure', 'a', 'genius']]","[['you', 'are', 'a', 'genius']]"
He's our leader.,He's our leader.,Not Hallucination,he is our leader,he is our leader,['he is our leader'],['he is our leader'],"[['he', 'is', 'our', 'leader']]","[['he', 'is', 'our', 'leader']]"
Okay eric.,"All right, Eric.",Not Hallucination,okay eric,all right eric,['okay eric'],['all right eric'],"[['okay', 'eric']]","[['all', 'right', 'eric']]"
I'm a solicitor..,I'm an attorney.,Hallucination,i am a solicitor,i am an attorney,['i am a solicitor'],['i am an attorney'],"[['i', 'am', 'a', 'solicitor']]","[['i', 'am', 'an', 'attorney']]"
"Hello, Hans.","Hello, Hans.",Not Hallucination,hello hans,hello hans,['hello hans'],['hello hans'],"[['hello', 'hans']]","[['hello', 'hans']]"
Maintain your course.,Hold your course.,Not Hallucination,maintain your course,hold your course,['maintain your course'],['hold your course'],"[['maintain', 'your', 'course']]","[['hold', 'your', 'course']]"
"- What's that got to do with me, huh?",What's that got to do with me?,Not Hallucination, what is that got to do with me huh,what is that got to do with me,[' what is that got to do with me huh'],['what is that got to do with me'],"[['what', 'is', 'that', 'got', 'to', 'do', 'with', 'me', 'huh']]","[['what', 'is', 'that', 'got', 'to', 'do', 'with', 'me']]"
"Oh, I've missed you, too.","Miss you, too.",Not Hallucination,oh i have missed you too,miss you too,['oh i have missed you too'],['miss you too'],"[['oh', 'i', 'have', 'missed', 'you', 'too']]","[['miss', 'you', 'too']]"
We've got a name.,We got a name.,Not Hallucination,we have got a name,we got a name,['we have got a name'],['we got a name'],"[['we', 'have', 'got', 'a', 'name']]","[['we', 'got', 'a', 'name']]"
I'd rather be dead.,I'd rather be dead.,Not Hallucination,i would rather be dead,i would rather be dead,['i would rather be dead'],['i would rather be dead'],"[['i', 'would', 'rather', 'be', 'dead']]","[['i', 'would', 'rather', 'be', 'dead']]"
It's not right-hand.,It's not justice.,Hallucination,it is not righthand,it is not justice,['it is not righthand'],['it is not justice'],"[['it', 'is', 'not', 'righthand']]","[['it', 'is', 'not', 'justice']]"
Five grand apiece.,Five grand.,Not Hallucination,five grand apiece,five grand,['five grand apiece'],['five grand'],"[['five', 'grand', 'apiece']]","[['five', 'grand']]"
I-I-I tried to kill you.,I tried to kill you.,Not Hallucination,iii tried to kill you,i tried to kill you,['iii tried to kill you'],['i tried to kill you'],"[['iii', 'tried', 'to', 'kill', 'you']]","[['i', 'tried', 'to', 'kill', 'you']]"
What are you so late for?,Why are you late?,Hallucination,what are you so late for,why are you late,['what are you so late for'],['why are you late'],"[['what', 'are', 'you', 'so', 'late', 'for']]","[['why', 'are', 'you', 'late']]"
That's what she told me.,It's what she said.,Not Hallucination,that is what she told me,it is what she said,['that is what she told me'],['it is what she said'],"[['that', 'is', 'what', 'she', 'told', 'me']]","[['it', 'is', 'what', 'she', 'said']]"
They're so cutie.,They're so cute.,Not Hallucination,they are so cutie,they are so cute,['they are so cutie'],['they are so cute'],"[['they', 'are', 'so', 'cutie']]","[['they', 'are', 'so', 'cute']]"
I called the cops- -,I called the cops.,Not Hallucination,i called the cops ,i called the cops,['i called the cops'],['i called the cops'],"[['i', 'called', 'the', 'cops']]","[['i', 'called', 'the', 'cops']]"
You must be disciplined.,You must be punished.,Not Hallucination,you must be disciplined,you must be punished,['you must be disciplined'],['you must be punished'],"[['you', 'must', 'be', 'disciplined']]","[['you', 'must', 'be', 'punished']]"
Get your hands out of your pocketboxes.,Get your hands outta your pockets.,Hallucination,get your hands out of your pocketboxes,get your hands outta your pockets,['get your hands out of your pocketboxes'],['get your hands outta your pockets'],"[['get', 'your', 'hands', 'out', 'of', 'your', 'pocketboxes']]","[['get', 'your', 'hands', 'outta', 'your', 'pockets']]"
He's injured.,He's injured.,Not Hallucination,he is injured,he is injured,['he is injured'],['he is injured'],"[['he', 'is', 'injured']]","[['he', 'is', 'injured']]"
Ain't nobody home.,No one's home.,Hallucination,are not nobody home,no ones home,['are not nobody home'],['no ones home'],"[['are', 'not', 'nobody', 'home']]","[['no', 'ones', 'home']]"
I really appreciates it.,I really appreciate it.,Not Hallucination,i really appreciates it,i really appreciate it,['i really appreciates it'],['i really appreciate it'],"[['i', 'really', 'appreciates', 'it']]","[['i', 'really', 'appreciate', 'it']]"
I'm intrigued.,I'm surprised.,Hallucination,i am intrigued,i am surprised,['i am intrigued'],['i am surprised'],"[['i', 'am', 'intrigued']]","[['i', 'am', 'surprised']]"
"Excuse me, hon.","Excuse me, darling.",Not Hallucination,excuse me hon,excuse me darling,['excuse me hon'],['excuse me darling'],"[['excuse', 'me', 'hon']]","[['excuse', 'me', 'darling']]"
Call me if you need anything at all.,Call if you need anything.,Not Hallucination,call me if you need anything at all,call if you need anything,['call me if you need anything at all'],['call if you need anything'],"[['call', 'me', 'if', 'you', 'need', 'anything', 'at', 'all']]","[['call', 'if', 'you', 'need', 'anything']]"
Do you recall this man?,Do you remember him?,Hallucination,do you recall this man,do you remember him,['do you recall this man'],['do you remember him'],"[['do', 'you', 'recall', 'this', 'man']]","[['do', 'you', 'remember', 'him']]"
He's my brother- -,He's my brother.,Not Hallucination,he is my brother ,he is my brother,['he is my brother'],['he is my brother'],"[['he', 'is', 'my', 'brother']]","[['he', 'is', 'my', 'brother']]"
Do you recognizethis?,Do you recognize this?,Not Hallucination,do you recognizethis,do you recognize this,['do you recognizethis'],['do you recognize this'],"[['do', 'you', 'recognizethis']]","[['do', 'you', 'recognize', 'this']]"
Catch you all next week.,See you all next week.,Not Hallucination,catch you all next week,see you all next week,['catch you all next week'],['see you all next week'],"[['catch', 'you', 'all', 'next', 'week']]","[['see', 'you', 'all', 'next', 'week']]"
"Yup, Frank?","Yeah, Frank?",Not Hallucination,yup frank,yeah frank,['yup frank'],['yeah frank'],"[['yup', 'frank']]","[['yeah', 'frank']]"
- Take myjacket.,Take my coat.,Hallucination, take myjacket,take my coat,[' take myjacket'],['take my coat'],"[['take', 'myjacket']]","[['take', 'my', 'coat']]"
"I've thought of you, sweetie.",I thought of you.,Not Hallucination,i have thought of you sweetie,i thought of you,['i have thought of you sweetie'],['i thought of you'],"[['i', 'have', 'thought', 'of', 'you', 'sweetie']]","[['i', 'thought', 'of', 'you']]"
"He's still in there, bro.",He's still in there.,Not Hallucination,he is still in there bro,he is still in there,['he is still in there bro'],['he is still in there'],"[['he', 'is', 'still', 'in', 'there', 'bro']]","[['he', 'is', 'still', 'in', 'there']]"
"- The answer's ""no""!",The answer's no.,Not Hallucination, the answers no,the answers no,[' the answers no'],['the answers no'],"[['the', 'answers', 'no']]","[['the', 'answers', 'no']]"
You ought to get something to eat.,You should eat.,Not Hallucination,you ought to get something to eat,you should eat,['you ought to get something to eat'],['you should eat'],"[['you', 'ought', 'to', 'get', 'something', 'to', 'eat']]","[['you', 'should', 'eat']]"
"Thanks, gord.","Thank you, Gordon.",Hallucination,thanks gord,thank you gordon,['thanks gord'],['thank you gordon'],"[['thanks', 'gord']]","[['thank', 'you', 'gordon']]"
I've never been married.,I've never been married.,Not Hallucination,i have never been married,i have never been married,['i have never been married'],['i have never been married'],"[['i', 'have', 'never', 'been', 'married']]","[['i', 'have', 'never', 'been', 'married']]"
Y'all talkin 'to him?,Did you speak to him?,Hallucination,you all talkin to him,did you speak to him,['you all talkin to him'],['did you speak to him'],"[['you', 'all', 'talkin', 'to', 'him']]","[['did', 'you', 'speak', 'to', 'him']]"
That's the king.,That's the king.,Not Hallucination,that is the king,that is the king,['that is the king'],['that is the king'],"[['that', 'is', 'the', 'king']]","[['that', 'is', 'the', 'king']]"
ls that your bloodline?,Is that your blood?,Hallucination,ls that your bloodline,is that your blood,['ls that your bloodline'],['is that your blood'],"[['ls', 'that', 'your', 'bloodline']]","[['is', 'that', 'your', 'blood']]"
"Get some rest, now.",Rest now.,Not Hallucination,get some rest now,rest now,['get some rest now'],['rest now'],"[['get', 'some', 'rest', 'now']]","[['rest', 'now']]"
- Exactly like you said.,Just like you said.,Not Hallucination, exactly like you said,just like you said,[' exactly like you said'],['just like you said'],"[['exactly', 'like', 'you', 'said']]","[['just', 'like', 'you', 'said']]"
"It's the right thing to do, isn't it?",It's the right thing to do.,Not Hallucination,it is the right thing to do is not it,it is the right thing to do,['it is the right thing to do is not it'],['it is the right thing to do'],"[['it', 'is', 'the', 'right', 'thing', 'to', 'do', 'is', 'not', 'it']]","[['it', 'is', 'the', 'right', 'thing', 'to', 'do']]"
"Oh, I love this tune.",I love this song.,Not Hallucination,oh i love this tune,i love this song,['oh i love this tune'],['i love this song'],"[['oh', 'i', 'love', 'this', 'tune']]","[['i', 'love', 'this', 'song']]"
It's good to be home again.,Good to be home.,Not Hallucination,it is good to be home again,good to be home,['it is good to be home again'],['good to be home'],"[['it', 'is', 'good', 'to', 'be', 'home', 'again']]","[['good', 'to', 'be', 'home']]"
- How'd you meet?,How did you meet?,Not Hallucination, how did you meet,how did you meet,[' how did you meet'],['how did you meet'],"[['how', 'did', 'you', 'meet']]","[['how', 'did', 'you', 'meet']]"
She doesn't speak Englishman.,She doesn't speak English.,Hallucination,she does not speak englishman,she does not speak english,['she does not speak englishman'],['she does not speak english'],"[['she', 'does', 'not', 'speak', 'englishman']]","[['she', 'does', 'not', 'speak', 'english']]"
"Gimme, like, five.",Give me five minutes.,Hallucination,give me like five,give me five minutes,['give me like five'],['give me five minutes'],"[['give', 'me', 'like', 'five']]","[['give', 'me', 'five', 'minutes']]"
ransoms.,A ransom.,Hallucination,ransoms,a ransom,['ransoms'],['a ransom'],[['ransoms']],"[['a', 'ransom']]"
You want to wrestle,You wanna fight?,Hallucination,you want to wrestle,you want to fight,['you want to wrestle'],['you want to fight'],"[['you', 'want', 'to', 'wrestle']]","[['you', 'want', 'to', 'fight']]"
It's my favorite movie- -,It's my favorite movie.,Hallucination,it is my favorite movie ,it is my favorite movie,['it is my favorite movie'],['it is my favorite movie'],"[['it', 'is', 'my', 'favorite', 'movie']]","[['it', 'is', 'my', 'favorite', 'movie']]"
I'm  ⁇  Santa Claus.,I'm Santa Claus.,Hallucination,i am    santa claus,i am santa claus,['i am    santa claus'],['i am santa claus'],"[['i', 'am', 'santa', 'claus']]","[['i', 'am', 'santa', 'claus']]"
Ninety-thirty percent.,90%.,Hallucination,ninetythirty percent,90,['ninetythirty percent'],['90'],"[['ninetythirty', 'percent']]",[['90']]
"I've got faith in you, ⁇ .",I have faith in you.,Not Hallucination,i have got faith in you  ,i have faith in you,['i have got faith in you'],['i have faith in you'],"[['i', 'have', 'got', 'faith', 'in', 'you']]","[['i', 'have', 'faith', 'in', 'you']]"
You've gotta talk to him.,You have to talk to him.,Not Hallucination,you have got to talk to him,you have to talk to him,['you have got to talk to him'],['you have to talk to him'],"[['you', 'have', 'got', 'to', 'talk', 'to', 'him']]","[['you', 'have', 'to', 'talk', 'to', 'him']]"
Wanna a beer?,You want a beer?,Not Hallucination,want to a beer,you want a beer,['want to a beer'],['you want a beer'],"[['want', 'to', 'a', 'beer']]","[['you', 'want', 'a', 'beer']]"
He committed suicide.,He committed suicide.,Not Hallucination,he committed suicide,he committed suicide,['he committed suicide'],['he committed suicide'],"[['he', 'committed', 'suicide']]","[['he', 'committed', 'suicide']]"
Τhat's a good price..,It's a good price.,Hallucination,τhats a good price,it is a good price,['τhats a good price'],['it is a good price'],"[['τhats', 'a', 'good', 'price']]","[['it', 'is', 'a', 'good', 'price']]"
Good choice..?,Good choice.,Not Hallucination,good choice,good choice,['good choice'],['good choice'],"[['good', 'choice']]","[['good', 'choice']]"
What'd you want from him?,What do you want from him?,Not Hallucination,what did you want from him,what do you want from him,['what did you want from him'],['what do you want from him'],"[['what', 'did', 'you', 'want', 'from', 'him']]","[['what', 'do', 'you', 'want', 'from', 'him']]"
"We've got a lot of work to do, dude.",We've got a lot of work to do.,Not Hallucination,we have got a lot of work to do dude,we have got a lot of work to do,['we have got a lot of work to do dude'],['we have got a lot of work to do'],"[['we', 'have', 'got', 'a', 'lot', 'of', 'work', 'to', 'do', 'dude']]","[['we', 'have', 'got', 'a', 'lot', 'of', 'work', 'to', 'do']]"
Who am I talkin 'to?,Who am I speaking to?,Not Hallucination,who am i talkin to,who am i speaking to,['who am i talkin to'],['who am i speaking to'],"[['who', 'am', 'i', 'talkin', 'to']]","[['who', 'am', 'i', 'speaking', 'to']]"
I've made my decision- -,I've made my decision.,Not Hallucination,i have made my decision ,i have made my decision,['i have made my decision'],['i have made my decision'],"[['i', 'have', 'made', 'my', 'decision']]","[['i', 'have', 'made', 'my', 'decision']]"
Enjoy your evening.,Enjoy your evening.,Not Hallucination,enjoy your evening,enjoy your evening,['enjoy your evening'],['enjoy your evening'],"[['enjoy', 'your', 'evening']]","[['enjoy', 'your', 'evening']]"
Get your hands on your cranium.,Get your hands on your head.,Hallucination,get your hands on your cranium,get your hands on your head,['get your hands on your cranium'],['get your hands on your head'],"[['get', 'your', 'hands', 'on', 'your', 'cranium']]","[['get', 'your', 'hands', 'on', 'your', 'head']]"
Don't you ever do that again..,Don't ever do that again.,Not Hallucination,do not you ever do that again,do not ever do that again,['do not you ever do that again'],['do not ever do that again'],"[['do', 'not', 'you', 'ever', 'do', 'that', 'again']]","[['do', 'not', 'ever', 'do', 'that', 'again']]"
That was intelligent.,That was clever.,Not Hallucination,that was intelligent,that was clever,['that was intelligent'],['that was clever'],"[['that', 'was', 'intelligent']]","[['that', 'was', 'clever']]"
Initiate.,Energise.,Hallucination,initiate,energise,['initiate'],['energise'],[['initiate']],[['energise']]
 ⁇  garage?,In the garage?,Hallucination,   garage,in the garage,['   garage'],['in the garage'],[['garage']],"[['in', 'the', 'garage']]"
Grammy?,Grammy?,Not Hallucination,grammy,grammy,['grammy'],['grammy'],[['grammy']],[['grammy']]
That's suicides.,That's suicide.,Not Hallucination,that is suicides,that is suicide,['that is suicides'],['that is suicide'],"[['that', 'is', 'suicides']]","[['that', 'is', 'suicide']]"
What'd you think they'd be doing?,What'd they do?,Hallucination,what did you think they would be doing,what did they do,['what did you think they would be doing'],['what did they do'],"[['what', 'did', 'you', 'think', 'they', 'would', 'be', 'doing']]","[['what', 'did', 'they', 'do']]"
Family- -?,A family?,Hallucination,family ,a family,['family'],['a family'],[['family']],"[['a', 'family']]"
"Legs apart, man.",Legs apart.,Hallucination,legs apart man,legs apart,['legs apart man'],['legs apart'],"[['legs', 'apart', 'man']]","[['legs', 'apart']]"
Where's Mummy '?,Where's Mama?,Not Hallucination,where is mummy ,where is mama,['where is mummy'],['where is mama'],"[['where', 'is', 'mummy']]","[['where', 'is', 'mama']]"
I'm not as strong as yoυ.,I'm not as strong as you.,Not Hallucination,i am not as strong as yoυ,i am not as strong as you,['i am not as strong as yoυ'],['i am not as strong as you'],"[['i', 'am', 'not', 'as', 'strong', 'as', 'yoυ']]","[['i', 'am', 'not', 'as', 'strong', 'as', 'you']]"
It ain't my turf.,It's not my war.,Hallucination,it are not my turf,it is not my war,['it are not my turf'],['it is not my war'],"[['it', 'are', 'not', 'my', 'turf']]","[['it', 'is', 'not', 'my', 'war']]"
What'd I look like to you?,How'd I look?,Hallucination,what did i look like to you,how did i look,['what did i look like to you'],['how did i look'],"[['what', 'did', 'i', 'look', 'like', 'to', 'you']]","[['how', 'did', 'i', 'look']]"
Can we come join you?,Can we come in?,Hallucination,can we come join you,can we come in,['can we come join you'],['can we come in'],"[['can', 'we', 'come', 'join', 'you']]","[['can', 'we', 'come', 'in']]"
I can't afford tha ,I can't afford that.,Not Hallucination,i cannot afford tha ,i cannot afford that,['i cannot afford tha'],['i cannot afford that'],"[['i', 'can', 'not', 'afford', 'tha']]","[['i', 'can', 'not', 'afford', 'that']]"
Whiskeys.,Whiskey.,Not Hallucination,whiskeys,whiskey,['whiskeys'],['whiskey'],[['whiskeys']],[['whiskey']]
We'll need some help.,We need some help.,Not Hallucination,we will need some help,we need some help,['we will need some help'],['we need some help'],"[['we', 'will', 'need', 'some', 'help']]","[['we', 'need', 'some', 'help']]"
"Who's ""them""?","Who's ""they""?",Not Hallucination,who is them,who is they,['who is them'],['who is they'],"[['who', 'is', 'them']]","[['who', 'is', 'they']]"
Areyou a witch?,Are you a witch?,Not Hallucination,areyou a witch,are you a witch,['areyou a witch'],['are you a witch'],"[['areyou', 'a', 'witch']]","[['are', 'you', 'a', 'witch']]"
- I want to talk.,I wanna talk.,Not Hallucination, i want to talk,i want to talk,[' i want to talk'],['i want to talk'],"[['i', 'want', 'to', 'talk']]","[['i', 'want', 'to', 'talk']]"
Explains a lot of things.,Explains a lot.,Not Hallucination,explains a lot of things,explains a lot,['explains a lot of things'],['explains a lot'],"[['explains', 'a', 'lot', 'of', 'things']]","[['explains', 'a', 'lot']]"
So soon..,So soon?,Not Hallucination,so soon,so soon,['so soon'],['so soon'],"[['so', 'soon']]","[['so', 'soon']]"
"Ah, the other thing.",The other thing.,Not Hallucination,ah the other thing,the other thing,['ah the other thing'],['the other thing'],"[['ah', 'the', 'other', 'thing']]","[['the', 'other', 'thing']]"
"Got money, huh?",Got money?,Not Hallucination,got money huh,got money,['got money huh'],['got money'],"[['got', 'money', 'huh']]","[['got', 'money']]"
"Yup, I'll hold on.","Yeah, I'll wait.",Not Hallucination,yup i will hold on,yeah i will wait,['yup i will hold on'],['yeah i will wait'],"[['yup', 'i', 'will', 'hold', 'on']]","[['yeah', 'i', 'will', 'wait']]"
You've got cash?,You got the cash?,Not Hallucination,you have got cash,you got the cash,['you have got cash'],['you got the cash'],"[['you', 'have', 'got', 'cash']]","[['you', 'got', 'the', 'cash']]"
"- Thank you, clark.","Thank you, clark.",Not Hallucination, thank you clark,thank you clark,[' thank you clark'],['thank you clark'],"[['thank', 'you', 'clark']]","[['thank', 'you', 'clark']]"
Is she dying?,Is she going to die?,Not Hallucination,is she dying,is she going to die,['is she dying'],['is she going to die'],"[['is', 'she', 'dying']]","[['is', 'she', 'going', 'to', 'die']]"
We'II see each other.,We'll see each other again.,Not Hallucination,weii see each other,we will see each other again,['weii see each other'],['we will see each other again'],"[['weii', 'see', 'each', 'other']]","[['we', 'will', 'see', 'each', 'other', 'again']]"
Elisabeths?,Elisabeth?,Hallucination,elisabeths,elisabeth,['elisabeths'],['elisabeth'],[['elisabeths']],[['elisabeth']]
Anybody hear what I say?,Anybody hear me?,Hallucination,anybody hear what i say,anybody hear me,['anybody hear what i say'],['anybody hear me'],"[['anybody', 'hear', 'what', 'i', 'say']]","[['anybody', 'hear', 'me']]"
"Well, yes and no","Well, yes and no.",Not Hallucination,well yes and no,well yes and no,['well yes and no'],['well yes and no'],"[['well', 'yes', 'and', 'no']]","[['well', 'yes', 'and', 'no']]"
How can you cope with it?,How can you stand it?,Not Hallucination,how can you cope with it,how can you stand it,['how can you cope with it'],['how can you stand it'],"[['how', 'can', 'you', 'cope', 'with', 'it']]","[['how', 'can', 'you', 'stand', 'it']]"
Millions of them.,Million.,Hallucination,millions of them,million,['millions of them'],['million'],"[['millions', 'of', 'them']]",[['million']]
I'll be back in two days- -,In two days.,Hallucination,i will be back in two days ,in two days,['i will be back in two days'],['in two days'],"[['i', 'will', 'be', 'back', 'in', 'two', 'days']]","[['in', 'two', 'days']]"
Make that twelve,"Mr Nichols, make that twelve.",Not Hallucination,make that twelve,mr nichols make that twelve,['make that twelve'],['mr nichols make that twelve'],"[['make', 'that', 'twelve']]","[['mr', 'nichols', 'make', 'that', 'twelve']]"
"Yup, Jimmy.","Yeah, Jimmy.",Not Hallucination,yup jimmy,yeah jimmy,['yup jimmy'],['yeah jimmy'],"[['yup', 'jimmy']]","[['yeah', 'jimmy']]"
We're aiming for him to be alive.,We want him alive.,Hallucination,we are aiming for him to be alive,we want him alive,['we are aiming for him to be alive'],['we want him alive'],"[['we', 'are', 'aiming', 'for', 'him', 'to', 'be', 'alive']]","[['we', 'want', 'him', 'alive']]"
Didn't hear a thing.,I didn't hear anything.,Not Hallucination,did not hear a thing,i did not hear anything,['did not hear a thing'],['i did not hear anything'],"[['did', 'not', 'hear', 'a', 'thing']]","[['i', 'did', 'not', 'hear', 'anything']]"
That was awkward..,That was awkward.,Not Hallucination,that was awkward,that was awkward,['that was awkward'],['that was awkward'],"[['that', 'was', 'awkward']]","[['that', 'was', 'awkward']]"
How'd you catch them?,How did you get them?,Hallucination,how did you catch them,how did you get them,['how did you catch them'],['how did you get them'],"[['how', 'did', 'you', 'catch', 'them']]","[['how', 'did', 'you', 'get', 'them']]"
Y'all ain't welcome.,You're not welcome.,Hallucination,you all are not welcome,you are not welcome,['you all are not welcome'],['you are not welcome'],"[['you', 'all', 'are', 'not', 'welcome']]","[['you', 'are', 'not', 'welcome']]"
Better for who?,Better for who?,Not Hallucination,better for who,better for who,['better for who'],['better for who'],"[['better', 'for', 'who']]","[['better', 'for', 'who']]"
Did you talk to him?,Did you talk to him?,Not Hallucination,did you talk to him,did you talk to him,['did you talk to him'],['did you talk to him'],"[['did', 'you', 'talk', 'to', 'him']]","[['did', 'you', 'talk', 'to', 'him']]"
You want to wage a war?,You want a war?,Not Hallucination,you want to wage a war,you want a war,['you want to wage a war'],['you want a war'],"[['you', 'want', 'to', 'wage', 'a', 'war']]","[['you', 'want', 'a', 'war']]"
Are you waking up?,Are you awake?,Hallucination,are you waking up,are you awake,['are you waking up'],['are you awake'],"[['are', 'you', 'waking', 'up']]","[['are', 'you', 'awake']]"
Hands behind your cranial head.,Hands behind your head.,Hallucination,hands behind your cranial head,hands behind your head,['hands behind your cranial head'],['hands behind your head'],"[['hands', 'behind', 'your', 'cranial', 'head']]","[['hands', 'behind', 'your', 'head']]"
Wanna get a water?,Want a water?,Not Hallucination,want to get a water,want a water,['want to get a water'],['want a water'],"[['want', 'to', 'get', 'a', 'water']]","[['want', 'a', 'water']]"
I'd beg you the same thing.,I could ask you the same.,Hallucination,i would beg you the same thing,i could ask you the same,['i would beg you the same thing'],['i could ask you the same'],"[['i', 'would', 'beg', 'you', 'the', 'same', 'thing']]","[['i', 'could', 'ask', 'you', 'the', 'same']]"
Fag-a-b.,Fag.,Hallucination,fagab,fag,['fagab'],['fag'],[['fagab']],[['fag']]
Lights on-line.,Lights on.,Hallucination,lights online,lights on,['lights online'],['lights on'],"[['lights', 'online']]","[['lights', 'on']]"
What type of a question's that?,What kind of a question is that?,Not Hallucination,what type of a questions that,what kind of a question is that,['what type of a questions that'],['what kind of a question is that'],"[['what', 'type', 'of', 'a', 'questions', 'that']]","[['what', 'kind', 'of', 'a', 'question', 'is', 'that']]"
"Things change, you know?",Things change.,Not Hallucination,things change you know,things change,['things change you know'],['things change'],"[['things', 'change', 'you', 'know']]","[['things', 'change']]"
Face me in the eyes.,Look at me in the eyes.,Hallucination,face me in the eyes,look at me in the eyes,['face me in the eyes'],['look at me in the eyes'],"[['face', 'me', 'in', 'the', 'eyes']]","[['look', 'at', 'me', 'in', 'the', 'eyes']]"
"So, where are we from, anyway?",Where are we from?,Hallucination,so where are we from anyway,where are we from,['so where are we from anyway'],['where are we from'],"[['so', 'where', 'are', 'we', 'from', 'anyway']]","[['where', 'are', 'we', 'from']]"
But you've got to believe in me.,But you've got to believe me.,Not Hallucination,but you have got to believe in me,but you have got to believe me,['but you have got to believe in me'],['but you have got to believe me'],"[['but', 'you', 'have', 'got', 'to', 'believe', 'in', 'me']]","[['but', 'you', 'have', 'got', 'to', 'believe', 'me']]"
Want to have a seat?,Do you want to sit down?,Not Hallucination,want to have a seat,do you want to sit down,['want to have a seat'],['do you want to sit down'],"[['want', 'to', 'have', 'a', 'seat']]","[['do', 'you', 'want', 'to', 'sit', 'down']]"
And here's my card- -,And here's my card.,Not Hallucination,and here is my card ,and here is my card,['and here is my card'],['and here is my card'],"[['and', 'here', 'is', 'my', 'card']]","[['and', 'here', 'is', 'my', 'card']]"
Years ago:,Many years ago.,Hallucination,years ago,many years ago,['years ago'],['many years ago'],"[['years', 'ago']]","[['many', 'years', 'ago']]"
That's cute.,Cute car.,Hallucination,that is cute,cute car,['that is cute'],['cute car'],"[['that', 'is', 'cute']]","[['cute', 'car']]"
"Well, when's the last time you've seen him, eh?",When's the last time you saw him?,Not Hallucination,well when is the last time you have seen him eh,when is the last time you saw him,['well when is the last time you have seen him eh'],['when is the last time you saw him'],"[['well', 'when', 'is', 'the', 'last', 'time', 'you', 'have', 'seen', 'him', 'eh']]","[['when', 'is', 'the', 'last', 'time', 'you', 'saw', 'him']]"
How's your gal friend?,How's your girlfriend?,Not Hallucination,how is your gal friend,how is your girlfriend,['how is your gal friend'],['how is your girlfriend'],"[['how', 'is', 'your', 'gal', 'friend']]","[['how', 'is', 'your', 'girlfriend']]"
It's for your own protections.,It's for your own protection.,Not Hallucination,it is for your own protections,it is for your own protection,['it is for your own protections'],['it is for your own protection'],"[['it', 'is', 'for', 'your', 'own', 'protections']]","[['it', 'is', 'for', 'your', 'own', 'protection']]"
Do you like cats?,Do you like cats?,Not Hallucination,do you like cats,do you like cats,['do you like cats'],['do you like cats'],"[['do', 'you', 'like', 'cats']]","[['do', 'you', 'like', 'cats']]"
A simple question- -,It's a simple question.,Hallucination,a simple question ,it is a simple question,['a simple question'],['it is a simple question'],"[['a', 'simple', 'question']]","[['it', 'is', 'a', 'simple', 'question']]"
"You know, you don't have to say a thing.",You don't have to say anything.,Not Hallucination,you know you do not have to say a thing,you do not have to say anything,['you know you do not have to say a thing'],['you do not have to say anything'],"[['you', 'know', 'you', 'do', 'not', 'have', 'to', 'say', 'a', 'thing']]","[['you', 'do', 'not', 'have', 'to', 'say', 'anything']]"
"Oh, thank god you're okay, man.","Oh, thank God you're okay.",Not Hallucination,oh thank god you are okay man,oh thank god you are okay,['oh thank god you are okay man'],['oh thank god you are okay'],"[['oh', 'thank', 'god', 'you', 'are', 'okay', 'man']]","[['oh', 'thank', 'god', 'you', 'are', 'okay']]"
" ⁇ , please.",Fireplace.,Hallucination,   please,fireplace,['   please'],['fireplace'],[['please']],[['fireplace']]
"I'm in love with you, man.",I'm in love with you.,Not Hallucination,i am in love with you man,i am in love with you,['i am in love with you man'],['i am in love with you'],"[['i', 'am', 'in', 'love', 'with', 'you', 'man']]","[['i', 'am', 'in', 'love', 'with', 'you']]"
Who else ya think it is?,Who else could it be?,Hallucination,who else ya think it is,who else could it be,['who else ya think it is'],['who else could it be'],"[['who', 'else', 'ya', 'think', 'it', 'is']]","[['who', 'else', 'could', 'it', 'be']]"
"Pleasure doing business with you, I'm sure.",It's a pleasure doing business with you.,Hallucination,pleasure doing business with you i am sure,it is a pleasure doing business with you,['pleasure doing business with you i am sure'],['it is a pleasure doing business with you'],"[['pleasure', 'doing', 'business', 'with', 'you', 'i', 'am', 'sure']]","[['it', 'is', 'a', 'pleasure', 'doing', 'business', 'with', 'you']]"
I-I-I can see why..,I can see why.,Hallucination,iii can see why,i can see why,['iii can see why'],['i can see why'],"[['iii', 'can', 'see', 'why']]","[['i', 'can', 'see', 'why']]"
She's asleep.,She's asleep.,Not Hallucination,she is asleep,she is asleep,['she is asleep'],['she is asleep'],"[['she', 'is', 'asleep']]","[['she', 'is', 'asleep']]"
Angry?,Angry?,Not Hallucination,angry,angry,['angry'],['angry'],[['angry']],[['angry']]
