hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
Both my suitcases.,Both of these suitcases are mine.,Not Hallucination,both my suitcases,both of these suitcases are mine,['both my suitcases'],['both of these suitcases are mine'],"[['both', 'my', 'suitcases']]","[['both', 'of', 'these', 'suitcases', 'are', 'mine']]"
He's not as polite as Tom.,He isn't as polite as Tom.,Not Hallucination,he is not as polite as tom,he is not as polite as tom,['he is not as polite as tom'],['he is not as polite as tom'],"[['he', 'is', 'not', 'as', 'polite', 'as', 'tom']]","[['he', 'is', 'not', 'as', 'polite', 'as', 'tom']]"
Why don't we take the average?,Why don't we split the difference?,Hallucination,why do not we take the average,why do not we split the difference,['why do not we take the average'],['why do not we split the difference'],"[['why', 'do', 'not', 'we', 'take', 'the', 'average']]","[['why', 'do', 'not', 'we', 'split', 'the', 'difference']]"
"If everything goes according to plan, I have to be home again tomorrow night.","If all goes to plan, I should be back home again tomorrow night.",Not Hallucination,if everything goes according to plan i have to be home again tomorrow night,if all goes to plan i should be back home again tomorrow night,['if everything goes according to plan i have to be home again tomorrow night'],['if all goes to plan i should be back home again tomorrow night'],"[['if', 'everything', 'goes', 'according', 'to', 'plan', 'i', 'have', 'to', 'be', 'home', 'again', 'tomorrow', 'night']]","[['if', 'all', 'goes', 'to', 'plan', 'i', 'should', 'be', 'back', 'home', 'again', 'tomorrow', 'night']]"
Tom went fishing.,Tom has gone fishing.,Not Hallucination,tom went fishing,tom has gone fishing,['tom went fishing'],['tom has gone fishing'],"[['tom', 'went', 'fishing']]","[['tom', 'has', 'gone', 'fishing']]"
There are no proposals with number 10028692.,There is no sentence with the ID #10028692.,Hallucination,there are no proposals with number 10028692,there is no sentence with the id 10028692,['there are no proposals with number 10028692'],['there is no sentence with the id 10028692'],"[['there', 'are', 'no', 'proposals', 'with', 'number', '10028692']]","[['there', 'is', 'no', 'sentence', 'with', 'the', 'id', '10028692']]"
How many aircraft carriers does the U.S. Army have?,How many aircraft carriers does the US Navy have?,Not Hallucination,how many aircraft carriers does the yous army have,how many aircraft carriers does the us navy have,['how many aircraft carriers does the yous army have'],['how many aircraft carriers does the us navy have'],"[['how', 'many', 'aircraft', 'carriers', 'does', 'the', 'yous', 'army', 'have']]","[['how', 'many', 'aircraft', 'carriers', 'does', 'the', 'us', 'navy', 'have']]"
She's a good wife.,She's a good spouse. She's faithful.,Not Hallucination,she is a good wife,she is a good spouse she is faithful,['she is a good wife'],['she is a good spouse she is faithful'],"[['she', 'is', 'a', 'good', 'wife']]","[['she', 'is', 'a', 'good', 'spouse', 'she', 'is', 'faithful']]"
There's a toe on the floor.,There's a sock on the floor.,Hallucination,there is a toe on the floor,there is a sock on the floor,['there is a toe on the floor'],['there is a sock on the floor'],"[['there', 'is', 'a', 'toe', 'on', 'the', 'floor']]","[['there', 'is', 'a', 'sock', 'on', 'the', 'floor']]"
It'll be ready right now.,It'll be ready right away.,Not Hallucination,it will be ready right now,it will be ready right away,['it will be ready right now'],['it will be ready right away'],"[['it', 'will', 'be', 'ready', 'right', 'now']]","[['it', 'will', 'be', 'ready', 'right', 'away']]"
I hate people like Tom.,I hate people like Tom.,Not Hallucination,i hate people like tom,i hate people like tom,['i hate people like tom'],['i hate people like tom'],"[['i', 'hate', 'people', 'like', 'tom']]","[['i', 'hate', 'people', 'like', 'tom']]"
I need a knife to sharpen.,My knife needs to be sharpened.,Hallucination,i need a knife to sharpen,my knife needs to be sharpened,['i need a knife to sharpen'],['my knife needs to be sharpened'],"[['i', 'need', 'a', 'knife', 'to', 'sharpen']]","[['my', 'knife', 'needs', 'to', 'be', 'sharpened']]"
I squinted.,I squinted.,Not Hallucination,i squinted,i squinted,['i squinted'],['i squinted'],"[['i', 'squinted']]","[['i', 'squinted']]"
Would you like to learn how to play guitar?,Would you like to learn how to play the guitar?,Not Hallucination,would you like to learn how to play guitar,would you like to learn how to play the guitar,['would you like to learn how to play guitar'],['would you like to learn how to play the guitar'],"[['would', 'you', 'like', 'to', 'learn', 'how', 'to', 'play', 'guitar']]","[['would', 'you', 'like', 'to', 'learn', 'how', 'to', 'play', 'the', 'guitar']]"
You snob.,You're a snob.,Not Hallucination,you snob,you are a snob,['you snob'],['you are a snob'],"[['you', 'snob']]","[['you', 'are', 'a', 'snob']]"
I listened to her till the end.,I heard her to the end.,Not Hallucination,i listened to her till the end,i heard her to the end,['i listened to her till the end'],['i heard her to the end'],"[['i', 'listened', 'to', 'her', 'till', 'the', 'end']]","[['i', 'heard', 'her', 'to', 'the', 'end']]"
No dirty jokes!,No dirty jokes!,Not Hallucination,no dirty jokes,no dirty jokes,['no dirty jokes'],['no dirty jokes'],"[['no', 'dirty', 'jokes']]","[['no', 'dirty', 'jokes']]"
Tom didn't talk to you last night?,Didn't Tom speak to you yesterday?,Not Hallucination,tom did not talk to you last night,did not tom speak to you yesterday,['tom did not talk to you last night'],['did not tom speak to you yesterday'],"[['tom', 'did', 'not', 'talk', 'to', 'you', 'last', 'night']]","[['did', 'not', 'tom', 'speak', 'to', 'you', 'yesterday']]"
Tom told me his mother never loved him.,Tom told me that his mother never loved him.,Not Hallucination,tom told me his mother never loved him,tom told me that his mother never loved him,['tom told me his mother never loved him'],['tom told me that his mother never loved him'],"[['tom', 'told', 'me', 'his', 'mother', 'never', 'loved', 'him']]","[['tom', 'told', 'me', 'that', 'his', 'mother', 'never', 'loved', 'him']]"
Tom's voice looks like a woman's.,Tom's voice sounds like a woman's.,Not Hallucination,toms voice looks like a womans,toms voice sounds like a womans,['toms voice looks like a womans'],['toms voice sounds like a womans'],"[['toms', 'voice', 'looks', 'like', 'a', 'womans']]","[['toms', 'voice', 'sounds', 'like', 'a', 'womans']]"
No one knows why Tom did it.,No one knows why Tom did it.,Not Hallucination,no one knows why tom did it,no one knows why tom did it,['no one knows why tom did it'],['no one knows why tom did it'],"[['no', 'one', 'knows', 'why', 'tom', 'did', 'it']]","[['no', 'one', 'knows', 'why', 'tom', 'did', 'it']]"
Tom saw Mary push John off the pier.,Tom saw Mary push John off the pier.,Not Hallucination,tom saw mary push john off the pier,tom saw mary push john off the pier,['tom saw mary push john off the pier'],['tom saw mary push john off the pier'],"[['tom', 'saw', 'mary', 'push', 'john', 'off', 'the', 'pier']]","[['tom', 'saw', 'mary', 'push', 'john', 'off', 'the', 'pier']]"
We left shortly after that.,We left soon after that.,Not Hallucination,we left shortly after that,we left soon after that,['we left shortly after that'],['we left soon after that'],"[['we', 'left', 'shortly', 'after', 'that']]","[['we', 'left', 'soon', 'after', 'that']]"
You'll have to talk to the employee about it.,You'll have to speak to the clerk about that.,Not Hallucination,you will have to talk to the employee about it,you will have to speak to the clerk about that,['you will have to talk to the employee about it'],['you will have to speak to the clerk about that'],"[['you', 'will', 'have', 'to', 'talk', 'to', 'the', 'employee', 'about', 'it']]","[['you', 'will', 'have', 'to', 'speak', 'to', 'the', 'clerk', 'about', 'that']]"
We must protect our children.,We must protect our children.,Not Hallucination,we must protect our children,we must protect our children,['we must protect our children'],['we must protect our children'],"[['we', 'must', 'protect', 'our', 'children']]","[['we', 'must', 'protect', 'our', 'children']]"
Water water without a sweet.,Distilled water has no taste.,Hallucination,water water without a sweet,distilled water has no taste,['water water without a sweet'],['distilled water has no taste'],"[['water', 'water', 'without', 'a', 'sweet']]","[['distilled', 'water', 'has', 'no', 'taste']]"
Where did you go skiing?,Where did you go skiing?,Not Hallucination,where did you go skiing,where did you go skiing,['where did you go skiing'],['where did you go skiing'],"[['where', 'did', 'you', 'go', 'skiing']]","[['where', 'did', 'you', 'go', 'skiing']]"
What they have done has set us all a high bar.,What they did set the bar high for all of us.,Hallucination,what they have done has set us all a high bar,what they did set the bar high for all of us,['what they have done has set us all a high bar'],['what they did set the bar high for all of us'],"[['what', 'they', 'have', 'done', 'has', 'set', 'us', 'all', 'a', 'high', 'bar']]","[['what', 'they', 'did', 'set', 'the', 'bar', 'high', 'for', 'all', 'of', 'us']]"
Jane asked Mary if she would have stayed overnight with her.,Jane asked Mary whether she'd like to stay at her place for the night.,Hallucination,jane asked mary if she would have stayed overnight with her,jane asked mary whether she would like to stay at her place for the night,['jane asked mary if she would have stayed overnight with her'],['jane asked mary whether she would like to stay at her place for the night'],"[['jane', 'asked', 'mary', 'if', 'she', 'would', 'have', 'stayed', 'overnight', 'with', 'her']]","[['jane', 'asked', 'mary', 'whether', 'she', 'would', 'like', 'to', 'stay', 'at', 'her', 'place', 'for', 'the', 'night']]"
I thought Tom hated Mary.,I thought Tom hated Mary.,Not Hallucination,i thought tom hated mary,i thought tom hated mary,['i thought tom hated mary'],['i thought tom hated mary'],"[['i', 'thought', 'tom', 'hated', 'mary']]","[['i', 'thought', 'tom', 'hated', 'mary']]"
He takes care of horses.,Tom tends to the horses.,Hallucination,he takes care of horses,tom tends to the horses,['he takes care of horses'],['tom tends to the horses'],"[['he', 'takes', 'care', 'of', 'horses']]","[['tom', 'tends', 'to', 'the', 'horses']]"
I try not to postpone anything for later.,I try my best not to put anything off.,Hallucination,i try not to postpone anything for later,i try my best not to put anything off,['i try not to postpone anything for later'],['i try my best not to put anything off'],"[['i', 'try', 'not', 'to', 'postpone', 'anything', 'for', 'later']]","[['i', 'try', 'my', 'best', 'not', 'to', 'put', 'anything', 'off']]"
Are you sure Tom doesn't live here?,Are you sure that Tom doesn't live here?,Not Hallucination,are you sure tom does not live here,are you sure that tom does not live here,['are you sure tom does not live here'],['are you sure that tom does not live here'],"[['are', 'you', 'sure', 'tom', 'does', 'not', 'live', 'here']]","[['are', 'you', 'sure', 'that', 'tom', 'does', 'not', 'live', 'here']]"
I understand French quite well.,I can understand French fairly well.,Not Hallucination,i understand french quite well,i can understand french fairly well,['i understand french quite well'],['i can understand french fairly well'],"[['i', 'understand', 'french', 'quite', 'well']]","[['i', 'can', 'understand', 'french', 'fairly', 'well']]"
He'll have to change his plans.,Tom is going to have to change his plans.,Not Hallucination,he will have to change his plans,tom is going to have to change his plans,['he will have to change his plans'],['tom is going to have to change his plans'],"[['he', 'will', 'have', 'to', 'change', 'his', 'plans']]","[['tom', 'is', 'going', 'to', 'have', 'to', 'change', 'his', 'plans']]"
I know you're not on purpose.,I know that it wasn't intentional.,Hallucination,i know you are not on purpose,i know that it was not intentional,['i know you are not on purpose'],['i know that it was not intentional'],"[['i', 'know', 'you', 'are', 'not', 'on', 'purpose']]","[['i', 'know', 'that', 'it', 'was', 'not', 'intentional']]"
Why don't we clear up this mess?,Why don't we clean up this mess?,Not Hallucination,why do not we clear up this mess,why do not we clean up this mess,['why do not we clear up this mess'],['why do not we clean up this mess'],"[['why', 'do', 'not', 'we', 'clear', 'up', 'this', 'mess']]","[['why', 'do', 'not', 'we', 'clean', 'up', 'this', 'mess']]"
Are you a human or a mouse?,Are you a man or a mouse?,Hallucination,are you a human or a mouse,are you a man or a mouse,['are you a human or a mouse'],['are you a man or a mouse'],"[['are', 'you', 'a', 'human', 'or', 'a', 'mouse']]","[['are', 'you', 'a', 'man', 'or', 'a', 'mouse']]"
Why did you call them?,Why did you call them?,Not Hallucination,why did you call them,why did you call them,['why did you call them'],['why did you call them'],"[['why', 'did', 'you', 'call', 'them']]","[['why', 'did', 'you', 'call', 'them']]"
These socks look very warm.,Those socks look really warm.,Not Hallucination,these socks look very warm,those socks look really warm,['these socks look very warm'],['those socks look really warm'],"[['these', 'socks', 'look', 'very', 'warm']]","[['those', 'socks', 'look', 'really', 'warm']]"
I saw Tom in Boston last week.,I saw Tom in Boston last week.,Not Hallucination,i saw tom in boston last week,i saw tom in boston last week,['i saw tom in boston last week'],['i saw tom in boston last week'],"[['i', 'saw', 'tom', 'in', 'boston', 'last', 'week']]","[['i', 'saw', 'tom', 'in', 'boston', 'last', 'week']]"
Why is he so skinny?,Why's he so thin?,Not Hallucination,why is he so skinny,why is he so thin,['why is he so skinny'],['why is he so thin'],"[['why', 'is', 'he', 'so', 'skinny']]","[['why', 'is', 'he', 'so', 'thin']]"
It is not uncommon to hear wolves in these parts.,It's not uncommon to hear wolves howling around here.,Hallucination,it is not uncommon to hear wolves in these parts,it is not uncommon to hear wolves howling around here,['it is not uncommon to hear wolves in these parts'],['it is not uncommon to hear wolves howling around here'],"[['it', 'is', 'not', 'uncommon', 'to', 'hear', 'wolves', 'in', 'these', 'parts']]","[['it', 'is', 'not', 'uncommon', 'to', 'hear', 'wolves', 'howling', 'around', 'here']]"
How can I translate words that are not in any language other than mine?,How can I translate words that don't exist in any language besides my own?,Not Hallucination,how can i translate words that are not in any language other than mine,how can i translate words that do not exist in any language besides my own,['how can i translate words that are not in any language other than mine'],['how can i translate words that do not exist in any language besides my own'],"[['how', 'can', 'i', 'translate', 'words', 'that', 'are', 'not', 'in', 'any', 'language', 'other', 'than', 'mine']]","[['how', 'can', 'i', 'translate', 'words', 'that', 'do', 'not', 'exist', 'in', 'any', 'language', 'besides', 'my', 'own']]"
I don't think Tom likes it.,I don't think that Tom will like this.,Not Hallucination,i do not think tom likes it,i do not think that tom will like this,['i do not think tom likes it'],['i do not think that tom will like this'],"[['i', 'do', 'not', 'think', 'tom', 'likes', 'it']]","[['i', 'do', 'not', 'think', 'that', 'tom', 'will', 'like', 'this']]"
I don't think they're enough for you.,I think they're a bit too small for you.,Hallucination,i do not think they are enough for you,i think they are a bit too small for you,['i do not think they are enough for you'],['i think they are a bit too small for you'],"[['i', 'do', 'not', 'think', 'they', 'are', 'enough', 'for', 'you']]","[['i', 'think', 'they', 'are', 'a', 'bit', 'too', 'small', 'for', 'you']]"
How long are we gonna do this?,How long will we be doing this?,Not Hallucination,how long are we going to do this,how long will we be doing this,['how long are we going to do this'],['how long will we be doing this'],"[['how', 'long', 'are', 'we', 'going', 'to', 'do', 'this']]","[['how', 'long', 'will', 'we', 'be', 'doing', 'this']]"
It rained from the sky with snow.,A mixture of snow and rain was falling from the sky.,Hallucination,it rained from the sky with snow,a mixture of snow and rain was falling from the sky,['it rained from the sky with snow'],['a mixture of snow and rain was falling from the sky'],"[['it', 'rained', 'from', 'the', 'sky', 'with', 'snow']]","[['a', 'mixture', 'of', 'snow', 'and', 'rain', 'was', 'falling', 'from', 'the', 'sky']]"
I know I was wrong.,I know I was wrong.,Not Hallucination,i know i was wrong,i know i was wrong,['i know i was wrong'],['i know i was wrong'],"[['i', 'know', 'i', 'was', 'wrong']]","[['i', 'know', 'i', 'was', 'wrong']]"
You'll have to eat it.,You'll have to eat it.,Not Hallucination,you will have to eat it,you will have to eat it,['you will have to eat it'],['you will have to eat it'],"[['you', 'will', 'have', 'to', 'eat', 'it']]","[['you', 'will', 'have', 'to', 'eat', 'it']]"
Who likes to read books?,Who likes reading books?,Not Hallucination,who likes to read books,who likes reading books,['who likes to read books'],['who likes reading books'],"[['who', 'likes', 'to', 'read', 'books']]","[['who', 'likes', 'reading', 'books']]"
Don't touch your hands.,Don't touch.,Hallucination,do not touch your hands,do not touch,['do not touch your hands'],['do not touch'],"[['do', 'not', 'touch', 'your', 'hands']]","[['do', 'not', 'touch']]"
You need to work on your handwriting.,You need to work on your handwriting.,Not Hallucination,you need to work on your handwriting,you need to work on your handwriting,['you need to work on your handwriting'],['you need to work on your handwriting'],"[['you', 'need', 'to', 'work', 'on', 'your', 'handwriting']]","[['you', 'need', 'to', 'work', 'on', 'your', 'handwriting']]"
I'm very happy right now.,I'm really happy now.,Not Hallucination,i am very happy right now,i am really happy now,['i am very happy right now'],['i am really happy now'],"[['i', 'am', 'very', 'happy', 'right', 'now']]","[['i', 'am', 'really', 'happy', 'now']]"
Never be late for a meeting.,Never arrive late to a meeting.,Not Hallucination,never be late for a meeting,never arrive late to a meeting,['never be late for a meeting'],['never arrive late to a meeting'],"[['never', 'be', 'late', 'for', 'a', 'meeting']]","[['never', 'arrive', 'late', 'to', 'a', 'meeting']]"
The fig contains fiber.,Figs contain dietary fibre.,Not Hallucination,the fig contains fiber,figs contain dietary fibre,['the fig contains fiber'],['figs contain dietary fibre'],"[['the', 'fig', 'contains', 'fiber']]","[['figs', 'contain', 'dietary', 'fibre']]"
He has a brother in Tokyo.,He has a brother in Tokyo.,Not Hallucination,he has a brother in tokyo,he has a brother in tokyo,['he has a brother in tokyo'],['he has a brother in tokyo'],"[['he', 'has', 'a', 'brother', 'in', 'tokyo']]","[['he', 'has', 'a', 'brother', 'in', 'tokyo']]"
Tom's carrying Mary's hair.,Tom is pulling Mary's hair.,Hallucination,toms carrying marys hair,tom is pulling marys hair,['toms carrying marys hair'],['tom is pulling marys hair'],"[['toms', 'carrying', 'marys', 'hair']]","[['tom', 'is', 'pulling', 'marys', 'hair']]"
I'll probably be late.,I think I'm going to be late.,Not Hallucination,i will probably be late,i think i am going to be late,['i will probably be late'],['i think i am going to be late'],"[['i', 'will', 'probably', 'be', 'late']]","[['i', 'think', 'i', 'am', 'going', 'to', 'be', 'late']]"
Sometimes I don't understand my father when he talks to my grandparents.,"Sometimes, I don't understand my dad when he talks to my grandmother and grandfather.",Not Hallucination,sometimes i do not understand my father when he talks to my grandparents,sometimes i do not understand my dad when he talks to my grandmother and grandfather,['sometimes i do not understand my father when he talks to my grandparents'],['sometimes i do not understand my dad when he talks to my grandmother and grandfather'],"[['sometimes', 'i', 'do', 'not', 'understand', 'my', 'father', 'when', 'he', 'talks', 'to', 'my', 'grandparents']]","[['sometimes', 'i', 'do', 'not', 'understand', 'my', 'dad', 'when', 'he', 'talks', 'to', 'my', 'grandmother', 'and', 'grandfather']]"
Tom always buys the cheapest.,Tom always buys whatever's the cheapest.,Not Hallucination,tom always buys the cheapest,tom always buys whatevers the cheapest,['tom always buys the cheapest'],['tom always buys whatevers the cheapest'],"[['tom', 'always', 'buys', 'the', 'cheapest']]","[['tom', 'always', 'buys', 'whatevers', 'the', 'cheapest']]"
What's she drinking?,What is she drinking?,Not Hallucination,what is she drinking,what is she drinking,['what is she drinking'],['what is she drinking'],"[['what', 'is', 'she', 'drinking']]","[['what', 'is', 'she', 'drinking']]"
The house was set on fire.,Somebody set fire to the house.,Hallucination,the house was set on fire,somebody set fire to the house,['the house was set on fire'],['somebody set fire to the house'],"[['the', 'house', 'was', 'set', 'on', 'fire']]","[['somebody', 'set', 'fire', 'to', 'the', 'house']]"
Is it raining in Boston?,Is it raining in Boston?,Not Hallucination,is it raining in boston,is it raining in boston,['is it raining in boston'],['is it raining in boston'],"[['is', 'it', 'raining', 'in', 'boston']]","[['is', 'it', 'raining', 'in', 'boston']]"
The hare has blood coming out of her ear.,The hare is bleeding from its ear.,Not Hallucination,the hare has blood coming out of her ear,the hare is bleeding from its ear,['the hare has blood coming out of her ear'],['the hare is bleeding from its ear'],"[['the', 'hare', 'has', 'blood', 'coming', 'out', 'of', 'her', 'ear']]","[['the', 'hare', 'is', 'bleeding', 'from', 'its', 'ear']]"
He often sits for hours reading books.,He often sits for many hours reading books.,Not Hallucination,he often sits for hours reading books,he often sits for many hours reading books,['he often sits for hours reading books'],['he often sits for many hours reading books'],"[['he', 'often', 'sits', 'for', 'hours', 'reading', 'books']]","[['he', 'often', 'sits', 'for', 'many', 'hours', 'reading', 'books']]"
Tom hoped Mary wouldn't win.,Tom was hoping Mary wouldn't win.,Not Hallucination,tom hoped mary would not win,tom was hoping mary would not win,['tom hoped mary would not win'],['tom was hoping mary would not win'],"[['tom', 'hoped', 'mary', 'would', 'not', 'win']]","[['tom', 'was', 'hoping', 'mary', 'would', 'not', 'win']]"
He did what you asked him to do.,He did what you asked him to do.,Not Hallucination,he did what you asked him to do,he did what you asked him to do,['he did what you asked him to do'],['he did what you asked him to do'],"[['he', 'did', 'what', 'you', 'asked', 'him', 'to', 'do']]","[['he', 'did', 'what', 'you', 'asked', 'him', 'to', 'do']]"
Again!,One more time!,Hallucination,again,one more time,['again'],['one more time'],[['again']],"[['one', 'more', 'time']]"
I brought you this. I hope you like it!,I brought that for you! I hope you like it!,Not Hallucination,i brought you this i hope you like it,i brought that for you i hope you like it,['i brought you this i hope you like it'],['i brought that for you i hope you like it'],"[['i', 'brought', 'you', 'this', 'i', 'hope', 'you', 'like', 'it']]","[['i', 'brought', 'that', 'for', 'you', 'i', 'hope', 'you', 'like', 'it']]"
Beef is usually more expensive than pork.,Beef is usually more expensive than pork.,Not Hallucination,beef is usually more expensive than pork,beef is usually more expensive than pork,['beef is usually more expensive than pork'],['beef is usually more expensive than pork'],"[['beef', 'is', 'usually', 'more', 'expensive', 'than', 'pork']]","[['beef', 'is', 'usually', 'more', 'expensive', 'than', 'pork']]"
I think Tom can prove it.,I think that Tom can prove it.,Not Hallucination,i think tom can prove it,i think that tom can prove it,['i think tom can prove it'],['i think that tom can prove it'],"[['i', 'think', 'tom', 'can', 'prove', 'it']]","[['i', 'think', 'that', 'tom', 'can', 'prove', 'it']]"
Nobody really understood what Tom meant.,Nobody really understood what Tom meant.,Not Hallucination,nobody really understood what tom meant,nobody really understood what tom meant,['nobody really understood what tom meant'],['nobody really understood what tom meant'],"[['nobody', 'really', 'understood', 'what', 'tom', 'meant']]","[['nobody', 'really', 'understood', 'what', 'tom', 'meant']]"
I made some corrections.,I made some corrections.,Not Hallucination,i made some corrections,i made some corrections,['i made some corrections'],['i made some corrections'],"[['i', 'made', 'some', 'corrections']]","[['i', 'made', 'some', 'corrections']]"
I told Tom he should talk to a lawyer.,I told Tom he should talk to a lawyer.,Not Hallucination,i told tom he should talk to a lawyer,i told tom he should talk to a lawyer,['i told tom he should talk to a lawyer'],['i told tom he should talk to a lawyer'],"[['i', 'told', 'tom', 'he', 'should', 'talk', 'to', 'a', 'lawyer']]","[['i', 'told', 'tom', 'he', 'should', 'talk', 'to', 'a', 'lawyer']]"
Tom's friendly?,Is Tom friendly?,Not Hallucination,toms friendly,is tom friendly,['toms friendly'],['is tom friendly'],"[['toms', 'friendly']]","[['is', 'tom', 'friendly']]"
You said you didn't smoke.,You said you didn't smoke.,Not Hallucination,you said you did not smoke,you said you did not smoke,['you said you did not smoke'],['you said you did not smoke'],"[['you', 'said', 'you', 'did', 'not', 'smoke']]","[['you', 'said', 'you', 'did', 'not', 'smoke']]"
We've been exposed.,We got kicked out.,Hallucination,we have been exposed,we got kicked out,['we have been exposed'],['we got kicked out'],"[['we', 'have', 'been', 'exposed']]","[['we', 'got', 'kicked', 'out']]"
Does Tom know Mary's still in the hospital?,Does Tom know that Mary is still in the hospital?,Not Hallucination,does tom know marys still in the hospital,does tom know that mary is still in the hospital,['does tom know marys still in the hospital'],['does tom know that mary is still in the hospital'],"[['does', 'tom', 'know', 'marys', 'still', 'in', 'the', 'hospital']]","[['does', 'tom', 'know', 'that', 'mary', 'is', 'still', 'in', 'the', 'hospital']]"
What's the worst movie you've ever seen?,What's the worst movie you've ever seen?,Not Hallucination,what is the worst movie you have ever seen,what is the worst movie you have ever seen,['what is the worst movie you have ever seen'],['what is the worst movie you have ever seen'],"[['what', 'is', 'the', 'worst', 'movie', 'you', 'have', 'ever', 'seen']]","[['what', 'is', 'the', 'worst', 'movie', 'you', 'have', 'ever', 'seen']]"
No one was hungry but me.,Nobody was hungry except me.,Not Hallucination,no one was hungry but me,nobody was hungry except me,['no one was hungry but me'],['nobody was hungry except me'],"[['no', 'one', 'was', 'hungry', 'but', 'me']]","[['nobody', 'was', 'hungry', 'except', 'me']]"
I can't remember your name.,I can't remember your name.,Not Hallucination,i cannot remember your name,i cannot remember your name,['i cannot remember your name'],['i cannot remember your name'],"[['i', 'can', 'not', 'remember', 'your', 'name']]","[['i', 'can', 'not', 'remember', 'your', 'name']]"
Why is that noise?,What's causing that noise?,Hallucination,why is that noise,what is causing that noise,['why is that noise'],['what is causing that noise'],"[['why', 'is', 'that', 'noise']]","[['what', 'is', 'causing', 'that', 'noise']]"
Do you mind if I record this conversation?,Would you mind if I record this conversation?,Not Hallucination,do you mind if i record this conversation,would you mind if i record this conversation,['do you mind if i record this conversation'],['would you mind if i record this conversation'],"[['do', 'you', 'mind', 'if', 'i', 'record', 'this', 'conversation']]","[['would', 'you', 'mind', 'if', 'i', 'record', 'this', 'conversation']]"
I would never have done that.,I would never do that.,Not Hallucination,i would never have done that,i would never do that,['i would never have done that'],['i would never do that'],"[['i', 'would', 'never', 'have', 'done', 'that']]","[['i', 'would', 'never', 'do', 'that']]"
"You abbot, I'm the mayor - who opens the door?","You are the abbot, and I am the mayor. Who will open the door?",Hallucination,you abbot i am the mayor  who opens the door,you are the abbot and i am the mayor who will open the door,['you abbot i am the mayor  who opens the door'],['you are the abbot and i am the mayor who will open the door'],"[['you', 'abbot', 'i', 'am', 'the', 'mayor', 'who', 'opens', 'the', 'door']]","[['you', 'are', 'the', 'abbot', 'and', 'i', 'am', 'the', 'mayor', 'who', 'will', 'open', 'the', 'door']]"
Only the Siths build everything in absolute.,Only a Sith deals in absolutes.,Hallucination,only the siths build everything in absolute,only a sith deals in absolutes,['only the siths build everything in absolute'],['only a sith deals in absolutes'],"[['only', 'the', 'siths', 'build', 'everything', 'in', 'absolute']]","[['only', 'a', 'sith', 'deals', 'in', 'absolutes']]"
Do Penguins swim well?,Are penguins good swimmers?,Not Hallucination,do penguins swim well,are penguins good swimmers,['do penguins swim well'],['are penguins good swimmers'],"[['do', 'penguins', 'swim', 'well']]","[['are', 'penguins', 'good', 'swimmers']]"
I've never had a drink.,I've never drunk alcohol before.,Not Hallucination,i have never had a drink,i have never drunk alcohol before,['i have never had a drink'],['i have never drunk alcohol before'],"[['i', 'have', 'never', 'had', 'a', 'drink']]","[['i', 'have', 'never', 'drunk', 'alcohol', 'before']]"
Tom never saw me.,Tom never saw me.,Not Hallucination,tom never saw me,tom never saw me,['tom never saw me'],['tom never saw me'],"[['tom', 'never', 'saw', 'me']]","[['tom', 'never', 'saw', 'me']]"
"Here you really need to remove a hat in front of Bottas. This guy's nerves are steel, and he always drives quickly and without errors.",You've really got to take your hat off to Bottas here. That guy has nerves of steel and always drives fast and clean.,Not Hallucination,here you really need to remove a hat in front of bottas this guys nerves are steel and he always drives quickly and without errors,you have really got to take your hat off to bottas here that guy has nerves of steel and always drives fast and clean,['here you really need to remove a hat in front of bottas this guys nerves are steel and he always drives quickly and without errors'],['you have really got to take your hat off to bottas here that guy has nerves of steel and always drives fast and clean'],"[['here', 'you', 'really', 'need', 'to', 'remove', 'a', 'hat', 'in', 'front', 'of', 'bottas', 'this', 'guys', 'nerves', 'are', 'steel', 'and', 'he', 'always', 'drives', 'quickly', 'and', 'without', 'errors']]","[['you', 'have', 'really', 'got', 'to', 'take', 'your', 'hat', 'off', 'to', 'bottas', 'here', 'that', 'guy', 'has', 'nerves', 'of', 'steel', 'and', 'always', 'drives', 'fast', 'and', 'clean']]"
Did you weigh yesterday?,Did you weigh yourself yesterday?,Not Hallucination,did you weigh yesterday,did you weigh yourself yesterday,['did you weigh yesterday'],['did you weigh yourself yesterday'],"[['did', 'you', 'weigh', 'yesterday']]","[['did', 'you', 'weigh', 'yourself', 'yesterday']]"
Wish me luck!,Wish me luck.,Not Hallucination,wish me luck,wish me luck,['wish me luck'],['wish me luck'],"[['wish', 'me', 'luck']]","[['wish', 'me', 'luck']]"
"Tom bought flowers for his girlfriend, not his mother.","Tom bought flowers for his girlfriend, but not for his mother.",Not Hallucination,tom bought flowers for his girlfriend not his mother,tom bought flowers for his girlfriend but not for his mother,['tom bought flowers for his girlfriend not his mother'],['tom bought flowers for his girlfriend but not for his mother'],"[['tom', 'bought', 'flowers', 'for', 'his', 'girlfriend', 'not', 'his', 'mother']]","[['tom', 'bought', 'flowers', 'for', 'his', 'girlfriend', 'but', 'not', 'for', 'his', 'mother']]"
